"Espacenet";"";"";"";"";"";"";"";"";
"Patentsuche";"";"";"";"";"";"";"";"";
"364 Treffer gefunden für nftxt = ""machine vise"" AND pd <= ""2005-01-01""";"";"";"";"";"";"";"";"";
"Treffer 1 bis 364 angezeigt";"";"";"";"";"";"";"";"";
"Abfragesprache: en / de / fr";"";"";"";"";"";"";"";"";
"Sortierkriterien: Relevanz";"";"";"";"";"";"";"";"";
"";"";"";"";"";"";"";"";"";
"No";"Titel";"Erfinder";"Anmelder";"Veröffentlichungsnummer";"Früheste Priorität";"IPC";"CPC";"Veröffentlichungsdatum";"Früheste Veröffentlichung";"Familiennummer";
"96";"Machine vise having jaws movable downwardly when pressed against workpiece";"OLIVER STONE VINCENT";"GLACIER CO LTD";"US2584062A";"1949-04-22";"B25B1/24";"B25B1/24 (EP,US)";"1952-01-29";"1952-01-29";"010910767";
"97";"Two-station vise with double-threaded screw";"LENZ JOHN O [US]";"KURT MFG CO [US]";"US5098073A";"1989-05-11";"B25B1/20 
B25B1/10 
B25B1/24";"B25B1/103 (EP,US) 
B25B1/24 (EP,US) 
B25B1/2473 (EP,US) 
B25B1/2478 (EP,US) 
Y10S269/906 (EP,US)";"1992-03-24";"1992-03-24";"023377286";
"98";"MASCHINENSCHRAUBSTOCK MIT EINER VERSCHIEBBAREN BACKE";"MILZ PANKRAZ [DE]";"SAURER ALLMA GMBH [DE] 
MILZ PANKRAZ [DE]";"WO0147668A1";"1999-12-23";"B25B1/12 
B25B1/12";"B25B1/12 (EP) 
B25B1/125 (EP)";"2001-07-05";"2001-06-28";"007934072";
"99";"Work aligning vise jaw";"SMITH DANIEL WM";"SMITH DANIEL WM";"US4114868A";"1978-01-09";"B23Q3/02 
B25B1/24";"B25B1/2473 (EP,US)";"1978-09-19";"1978-09-19";"025351008";
"100";"Hydraulic machine vise having a screwadjusted piston housed in a slidable jaw";"OLSON ELMER T";"WILLIAM J RAWITZER";"US2708382A";"1953-07-20";"B25B1/18";"B25B1/18 (EP,US)";"1955-05-17";"1955-05-17";"027004391";
"101";"Vise, particularly a machine vise";"GOOD JOHANN [CH]";"GOOD JOHANN [CH]";"US4569509A";"1984-04-02";"B23Q3/00 
B25B1/18 
B25B1/24";"B25B1/18 (EP,US) 
B25B1/24 (EP,US)";"1986-02-11";"1986-02-11";"024384494";
"102";"Kein Titel verfügbar";"";"";"JPH0385037U 
JPH0644426Y2";"1989-12-19";"A43B7/26 
A61H39/04 
A43B7/26 
A44B99/00 
A61H39/04";"";"1991-08-28 
1994-11-16";"1991-08-28";"031692883";
"103";"Toggle-lever power amplifier";"PREISENHAMMER PETER";"SAURER ALLMA GMBH";"US4044623A";"1973-02-19";"G05G1/04 
B25B1/10 
F16H25/18";"B25B1/106 (EP,US) 
F16H25/183 (EP,US) 
Y10T74/20588 (EP,US)";"1977-08-30";"1977-08-30";"027185064";
"104";"OIL HYDRAULIC CLAMPING UNIT";"ASANUMA RETSU";"MATSUO SANGYO KK";"JPS6179536A";"1984-09-28";"B23Q3/06 
F16B2/06 
B23Q3/06 
F16B2/06";"";"1986-04-23";"1986-04-23";"016449268";
"105";"Compression hold-down elements";"CLUGAGE ROBERT G";"CLUGAGE ROBERT G";"US3891201A";"1972-07-21";"B23Q3/06 
B25B1/24";"B25B1/2473 (EP,US)";"1975-06-24";"1975-06-24";"026956537";
"106";"SPIRAL FAST GRIPPING MECHANISM (VICE, SCREW BOLT, LATHE CUTTER HOLDER, BENCH CLAMP)";"LI SONGSHUN [CN]";"HE JUN [CN]";"CN1052725A";"1990-11-09";"B25B1/24 
F16B37/08 
B25B1/24 
F16B37/08";"";"1991-07-03";"1991-07-03";"004881298";
"107";"Adjustable member for reducing clamp load losses in a locking jaw vise";"LENZ JOHN O";"KURT MFG CO";"US4098500A";"1977-11-25";"B23Q3/02 
B25B1/10 
B25B1/24";"B25B1/103 (EP,US) 
B25B1/2473 (EP,US) 
B25B1/2489 (EP,US)";"1978-07-04";"1978-07-04";"025320139";
"108";"Machine flat-nose pliers";"WANG XINGHE [CN] 
LIANG RUIJUN [CN]";"SONGHE MACHINERY PROC CO LTD W [CN]";"CN2541120Y";"2002-05-14";"B23Q3/06 
B23Q3/06";"";"2003-03-26";"2003-03-26";"033693985";
"109";"Machine vise having base-clamping screw and nut assembly for sectional movable jaws";"RZEPELA STANLEY J";"";"US2667799A";"1952-10-09";"B25B1/10";"B25B1/10 (EP,US)";"1954-02-02";"1954-02-02";"023217830";
"110";"Machine tool vise";"JAMES LAWRENCE W [US]";"JAMES LAWRENCE W [US]";"US5108080A";"1989-10-06";"B23Q3/02 
B25B1/24";"B25B1/2426 (EP,US)";"1992-04-28";"1992-04-28";"027024119";
"111";"Machine vise jaw rockable downwardly when pressed against workpiece";"WALKER LOCKO L";"";"US2564138A";"1949-03-07";"B25B1/24";"B25B1/24 (EP,US)";"1951-08-14";"1951-08-14";"022154828";
"112";"ANGLE ADJUSTER FOR VISE";"FUJII RIYUUTAROU";"MARUZEN SEIKOU KK";"JPH0146258B2 
JPS60213451A";"1984-04-02";"B23Q3/06 
B25B1/22 
B23Q16/00 
B23Q3/18 
B25B1/24";"B23Q16/007 (EP)";"1985-10-25 
1989-10-06";"1985-10-25";"013304937";
"113";"Vices";"YANG TAI-HER";"YANG TAI HER";"GB2198974A";"1986-12-17";"B25B1/02 
B25B1/10 
B25B1/24 
B25B5/10";"B25B1/103 (EP) 
B25B1/2405 (EP) 
B25B1/2426 (EP) 
B25B5/10 (EP) 
B25B5/103 (EP)";"1988-06-29";"1988-06-29";"010609155";
"114";"Double vise with self-setting clamping with the same or different size workpieces";"BERNSTEIN LEON M [US]";"KURT MFG CO [US]";"US6012712A";"1998-03-20";"B25B1/20 
B25B1/24";"B25B1/2405 (EP,US) 
B25B1/2473 (EP,US) 
B25B1/2478 (EP,US) 
B25B1/2489 (EP,US)";"2000-01-11";"2000-01-11";"026761116";
"115";"Reversible two face jaw plate for vise or clamp";"BERNSTEIN LEON M [US]";"KURT MFG CO [US]";"US5921536A";"1997-07-11";"B25B1/24 
B25B1/24";"B25B1/2405 (EP,US)";"1999-07-13";"1999-07-13";"025399661";
"116";"QUICK DYNAMIC FLAT PLICERS";"MINGHUI LI [CN] 
BAYI YAN [CN]";"LI MINGHUI [CN]";"CN2154762Y";"1992-11-27";"B23Q3/08 
B23Q3/08";"";"1994-02-02";"1994-02-02";"033782681";
"117";"Vise transport for milling machines";"HEVOYAN VAROUJAN H [US]";"HEVOYAN VAROUJAN H [US]";"US5344264A";"1993-07-27";"B23Q3/00 
B23Q1/54 
B23Q3/10";"B23Q1/5481 (EP,US) 
B23Q3/101 (EP,US) 
Y10T408/563 (EP,US) 
Y10T409/30868 (EP,US) 
Y10T409/309576 (EP,US)";"1994-09-06";"1994-09-06";"022259998";
"118";"TESTING METHOD OF CEMENTED CARBIDE CUTTING TOOL BY MILLING";"MATSUMOTO HIDEKAZU 
NOMURA TOSHIO";"SUMITOMO ELECTRIC INDUSTRIES";"JPH01119738A";"1987-11-02";"B23C9/00 
G01N3/58 
B23C9/00 
G01N3/58";"";"1989-05-11";"1989-05-11";"017592285";
"119";"QUICK CLOSED-OPEN STEEL BALL SPIRAL DRIVE MECHANISM";"JUNQING WANG [CN] 
YULAN ZHAO [CN]";"WANG JUNQING [CN]";"CN1015070B 
CN1050254A";"1990-07-24";"F16H25/22 
F16H25/24 
F16H25/22 
F16H25/24";"";"1991-03-27 
1991-12-11";"1991-03-27";"004880179";
"120";"Work stop system and jaw plate for holding the same";"WOLFE INGO E [US]";"KURT MFG CO INC [US]";"US6217014B1";"1997-07-11";"B25B1/00 
B23Q3/10 
B25B1/24";"B23Q3/102 (EP,US) 
B25B1/2405 (EP,US) 
B25B1/2452 (EP,US) 
B25B1/2478 (EP,US)";"2001-04-17";"1999-01-13";"025399663";
"121";"DRIVING GEAR OF OIL HYDRAULIC CLAMPER";"ASANUMA RETSU";"MATSUO SANGYO KK";"JPS6179535A";"1984-09-28";"B23Q3/06 
B23Q3/06";"";"1986-04-23";"1986-04-23";"016449254";
"122";"Typographical machine";"MAXIMILIAN TREJO 
HECTOR CASCANTE";"";"US2372407A";"1942-04-11";"B41B11/38";"B41B11/38 (EP,US)";"1945-03-27";"1945-03-27";"023741290";
"123";"Kein Titel verfügbar";"";"";"JPH0659003U";"1993-02-02";"B27C3/00 
B27C3/00";"";"1994-08-16";"1994-08-16";"011525932";
"124";"VISE PARALLEL MEANS";"KAZOLIAS WILLIAM P";"WILLIAM P KAZOLIAS";"US3502319A";"1967-03-13";"B25B1/24 
B25B5/16 
B25B1/24";"B25B1/24 (EP,US)";"1970-03-24";"1970-03-24";"024495118";
"125";"Kein Titel verfügbar";"";"";"JPS5293998U";"1976-01-10";"B25B1/02 
B25B1/02 
B25B1/10";"";"1977-07-13";"1977-07-13";"028461959";
"126";"Kein Titel verfügbar";"";"";"JPS4943898U";"1972-07-20";"B23Q3/06 
B25B1/18 
B23Q3/06 
B25B1/18 
B25B1/24";"";"1974-04-17";"1974-04-17";"027996292";
"127";"METHOD AND DEVICE FOR CORRECTING FLEXURE IN MACHINE VICE";"MATSUOKA TSUGUHITO";"MATSUOKA TSUGUHITO";"JPS58192760A 
JPS6229184B2";"1982-05-07";"B25B1/06 
B25B1/02 
B25B1/06 
B25B1/24";"";"1983-11-10 
1987-06-24";"1983-11-10";"013623528";
"128";"LINOTYPE-MACHINE.";"BERTRAM WILLIAM E [US]";"INT TYPESETTING MACHINE CO [US]";"US1108828A";"";"";"B41B11/38 (EP,US)";"1914-08-25";"1914-08-25";"003177020";
"129";"Wide-opening vise";"CHICK JAMES P [US]";"CHICK JAMES P [US]";"US4966350A";"1988-12-05";"B25B1/10 
B25B1/10 
B25B1/24";"B25B1/103 (EP,US) 
B25B1/2405 (EP,US)";"1990-10-30";"1990-10-30";"023070653";
"130";"Kein Titel verfügbar";"";"";"JPS4899597U";"1972-02-24";"B25B1/18 
B25B1/18";"";"1973-11-24";"1973-11-24";"027877058";
"131";"Vise jaws for typographical machines";"BLAIR JOHN E";"INTERTYPE CORP";"US2035421A";"1935-07-18";"B41B11/38";"B41B11/38 (EP,US)";"1936-03-24";"1936-03-24";"021863177";
"132";"Kein Titel verfügbar";"";"";"JP2601271Y2 
JPH0661428U";"1993-02-05";"B27F5/06 
B23Q3/06 
B25B1/10 
B23Q3/06 
B25B1/10 
B27F5/06";"";"1994-08-30 
1999-11-15";"1994-08-30";"011545628";
"133";"Kein Titel verfügbar";"";"";"JPH0657604U";"1993-01-19";"B27F5/04 
B27F5/04";"";"1994-08-09";"1994-08-09";"011488302";
"134";"MACHINE VICE";"USKOV VIKTOR M [SU]";"USKOV VIKTOR M [SU]";"RU2091203C1";"1993-12-16";"B25B1/10 
B25B1/10";"";"1997-09-27";"1997-09-27";"020150373";
"135";"Kein Titel verfügbar";"";"";"JP2603629Y2 
JPH0715222U";"1993-08-19";"B23D55/04 
B23D55/04";"";"1995-03-14 
2000-03-15";"1995-03-14";"012713412";
"136";"Kein Titel verfügbar";"";"";"JPH0724522U";"1993-10-07";"B23D47/04 
B27B5/29 
B23D47/04 
B27B5/29";"";"1995-05-09";"1995-05-09";"013113802";
"137";"Machine vise";"GLOMB FRANK A 
GRIFFITH WILLIAM S";"CHICAGO TOOL AND ENG COMPANY";"USD254376S";"1977-08-15";"";"";"1980-03-04";"1980-03-04";"069768893";
"138";"CYLINDER BLOCK";"KOBAYASHI TAKAAKI";"KOBAYASHI TAKAAKI";"JPS5988262A";"1982-11-02";"B23Q3/06 
B25B1/18 
F02F7/00 
B23Q3/06 
B23Q3/18 
B25B1/18 
B25B1/24 
F02F7/00";"";"1984-05-22";"1984-05-22";"016300018";
"139";"MACHINE VICE";"MIYASHITA MASAMITSU";"TAMAGAWA SEIKI CO LTD";"JPH09277133A";"1996-04-11";"B23Q3/06 
B23Q3/06";"";"1997-10-28";"1997-10-28";"013977825";
"140";"Machine or other vise";"HENRY JERRIM JAMES";"";"US1349963A";"1919-06-26";"B25B1/12 
B25B1/20 
B25B1/24";"B25B1/125 (EP,US) 
B25B1/20 (EP,US) 
B25B1/2426 (EP,US)";"1920-08-17";"1920-08-17";"023187689";
"141";"Kein Titel verfügbar";"";"";"US510293A";"";"";"B23Q1/76 (EP,US) 
Y10T82/2529 (EP,US) 
Y10T82/2597 (EP,US)";"1893-12-05";"1893-12-05";"002579120";
"142";"MACHINE-VISE.";"SAYLOR JOHN R [US]";"SAYLOR JOHN R [US]";"US1089273A";"1912-04-26";"";"A47J47/005 (EP,US)";"1914-03-03";"1914-03-03";"003157494";
"143";"CLAMPING DEVICE, PARTICULARLY FOR A MACHINE TOOL";"PARET PAUL";"PARET PAUL";"CA911471A";"";"B25B1/12 
B25B1/24 
B25B1/12 
B25B1/24";"";"1972-10-03";"1972-10-03";"036419070";
"144";"Kein Titel verfügbar";"SODA KENZO";"SODA KENZO";"JPS5178000A";"1974-12-28";"B25B1/24 
B25B1/24";"";"1976-07-06";"1976-07-06";"011477583";
"145";"COLLET TYPE CHUCK";"HARAGUCHI AKIRA 
IIZUKA TAKEO 
TAKAHASHI KUNIAKI";"SONY CORP";"JPH09174363A";"1995-12-21";"B23B31/20 
B23Q3/06 
B23B31/02 
B23B31/20 
B23Q3/06";"";"1997-07-08";"1997-07-08";"018264555";
"146";"ANGLE INDEXING TOOL";"YAMAGATA HIDEO 
SAITO MASATOSHI 
KAWASAKI YUKINORI";"RICOH KK";"JP2004306233A";"2003-04-10";"B23Q3/06 
B23Q3/18 
B23Q3/06 
B23Q3/18";"";"2004-11-04";"2004-11-04";"033468690";
"147";"Quick lock in parallel and angle plate system for machining vise";"DURFEE JR DAVID L [US]";"DURFEE SUSAN [US]";"US5037075A";"1990-03-19";"B25B1/24 
B25B1/24";"B25B1/2463 (EP,US)";"1991-08-06";"1991-08-06";"023969958";
"148";"Quick lock in parallel and angle plate system for machining vise";"DURFEE JR DAVID L [US]";"DURFEE SUSAN M [US]";"US4923186A";"1986-12-15";"B25B1/24 
B25B1/10 
B25B1/24";"B25B1/24 (EP,KR,US) 
B25B1/2463 (EP,US)";"1990-05-08";"1990-02-08";"022836451";
"149";"MACHINE VICE";"VERKHOVODOV YURIJ I [SU]";"GOMELSK KT EXI TEKH PEREVO [SU]";"RU1835341C";"1989-10-30";"B25B1/10 
B25B1/10";"";"1993-08-23";"1993-08-23";"021477444";
"150";"Kein Titel verfügbar";"";"";"JPS59109457U";"1983-01-14";"B25B1/24 
B25B1/24";"";"1984-07-24";"1984-07-24";"030134451";
"151";"Range jaws for milling machine vises";"CARLSON ALFRED J [US]";"CARLSON ALFRED J";"US4422629A";"1982-05-24";"B25B1/24 
B25B1/24";"B25B1/2405 (EP,US) 
B25B1/2478 (EP,US)";"1983-12-27";"1983-12-27";"023504068";
"152";"Equipment loading plank";"O'BRIEN DANIEL F [US]";"";"US6253898B1";"1998-07-02";"B65G11/18 
B23Q1/74";"B23Q1/74 (EP,US)";"2001-07-03";"2001-07-03";"026751026";
"153";"Climp for drilling plate material";"ZHU HUAIBAO [CN]";"ZHU HUAIBAO [CN]";"CN2506390Y";"2001-10-16";"B23Q3/06 
B23Q3/06";"";"2002-08-21";"2002-08-21";"033670910";
"154";"Machine vise";"WOLFE INGO E 
BERNSTEIN LEON M";"KURT MFG CO INC";"USD417599S";"1998-09-04";"";"";"1999-12-14";"1999-12-14";"071658052";
"155";"AUTOMATIC MACHINE-VISE.";"LONG JOHN R [US]";"LONG JOHN R [US]";"US1299488A";"1917-11-12";"";"B25B1/22 (EP,US)";"1919-04-08";"1919-04-08";"003367030";
"156";"MACHINE VICE";"OGAWA MAMORU";"NEC CORP";"JPH02298469A";"1989-05-10";"B25B1/24 
B25B1/24";"";"1990-12-10";"1990-12-10";"014682996";
"157";"Kein Titel verfügbar";"";"";"JPH063535U 
JPH0744426Y2";"1992-06-23";"B23Q3/06 
B23Q3/18 
B25B1/10 
B23Q3/06 
B23Q3/18 
B25B1/10";"";"1994-01-18 
1995-10-11";"1994-01-18";"012851243";
"158";"Hold-down device";"HENRY FILBURN JOHN";"";"US2381815A";"1943-07-08";"B25B1/24";"B25B1/2473 (EP,US)";"1945-08-07";"1945-08-07";"023962101";
"159";"MILLING-MACHINE VISE.";"MCCLELLAN EDWARD J [US]";"GARVIN MACHINE COMPANY [US]";"US652441A";"1900-04-11";"";"B25B1/22 (EP,US)";"1900-06-26";"1900-06-26";"002721010";
"160";"CLAMP DEVICE";"TOOMASU SHIYOIPURIN 
HAINRITSUHI BERUHITOHORUTO";"GRIESSER AG";"JP3200145B2 
JPH06262536A";"1991-04-17";"B25B1/10 
B23Q3/06 
B25B1/06 
B23Q3/06 
B25B1/06 
B25B1/10 
F16H25/18";"B25B1/106 (EP,US) 
F16B2/06 (KR) 
F16H25/183 (EP,US)";"1994-09-20 
2001-08-20";"1992-08-13";"031994902";
"161";"Станочные тиски";"DAROVYKH N I";"DAROVYKH N I";"SU63985A1";"1943-04-15";"B23Q3/06 
B25B1/08";"";"1943-11-30";"1943-11-30";"048244809";
"162";"Kein Titel verfügbar";"";"";"JPS4868899U";"1971-11-30";"B25B1/24 
B25B1/24";"";"1973-09-01";"1973-09-01";"028025268";
"163";"ELECTRIC POWER MAGNIFYING MACHINE";"KAYAMOTO MASAMITSU";"KAYAMOTO MASAMITSU";"JPH01283077A";"1988-05-09";"H02N11/00 
H02N11/00";"";"1989-11-14";"1989-11-14";"014598079";
"164";"DEVICE FOR SETTING THE ANGLE AND INDEXING THE POSITION OF PROCESSING";"KAWAKAMI TETSUO";"TAKUMOSU SEIKI KK";"JPS5815644A 
JPS6116577B2";"1981-07-18";"B23Q17/02 
B23Q17/00 
B23Q17/22 
B23Q3/18";"B23Q17/22 (EP)";"1983-01-29 
1986-05-01";"1983-01-29";"014591309";
"165";"Ручной станок (тиски) для правки кирпича-сырца";"POLUKHIN M S";"POLUKHIN M S";"SU17089A1";"1929-08-28";"B28B11/10";"";"1930-09-30";"1930-09-30";"048337281";
"166";"Soft jaw attachment system for a vise";"DI MARCO JOEL [US]";"MARCO JOEL DI [US]";"US5193792A";"1992-02-10";"B25B1/24 
B25B1/24";"B25B1/2452 (EP,US)";"1993-03-16";"1993-03-16";"025271465";
"167";"Adjustable parallel";"LASK STEPHAN J";"";"US1335247A";"1919-02-17";"B23Q3/02";"B23Q3/02 (EP,US) 
Y10S411/954 (EP,US)";"1920-03-30";"1920-03-30";"023061336";
"168";"Clamping device";"FRANZ ARNOLD 
CHARLES WERMUTH 
HEINZ WAGNER";"";"US3400924A";"1964-04-07";"B25B1/10 
B25B1/14";"B25B1/106 (EP,US) 
B25B1/14 (EP,US)";"1968-09-10";"1965-10-08";"006934847";
"169";"Kein Titel verfügbar";"";"";"DE3802091C1";"1988-01-26";"B23Q3/06 
B23Q3/06 
B25B5/10";"B25B5/106 (EP) 
B25B5/107 (EP)";"1988-11-03";"1988-11-03";"006345932";
"170";"MACHINE VICE";"YAKOVLEV GRIGORIJ I [SU] 
KYZRODEV LEONID M [SU]";"TS K B ARMATUROSTROENIYA LE N [SU]";"RU1777982C";"1989-05-06";"B23Q3/06 
B25B1/00 
B23Q3/06 
B25B1/00";"";"1992-11-30";"1992-11-30";"021446671";
"171";"Clip system for holding vise parallels";"SHEEHY JR JAMES J [US]";"PREC PRODUCTS CO INC [US]";"US6446952B1";"1999-11-02";"B23Q3/06 
B25B1/24";"B25B1/2452 (EP,US) 
B25B1/2463 (EP,US)";"2002-09-10";"2001-05-16";"027029529";
"172";"DIFFERENTIAL SCREW";"WAKAYAMA EISUKE";"WAKAYAMA EISUKE";"JPS5324959A";"1976-08-20";"F16H25/20 
F16H35/04 
F16H25/20 
F16H25/22";"";"1978-03-08";"1978-03-08";"014244167";
"173";"MACHINE VICE";"GONCHAROV VIKTOR YA 
KOZLOVSKIJ YURIJ V 
PAUTOV EDUARD S";"GONCHAROV VIKTOR YA [SU] 
KOZLOVSKIJ YURIJ V 
PAUTOV EDUARD S";"SU818848A1";"1977-05-05";"B23Q3/02 
B25B1/02 
B25B1/02 
B23Q3/02";"";"1981-04-07";"1981-04-07";"020708609";
"174";"Mechanical holding chuck";"PINCHA PHILIP J";"PINCHA PHILIP J";"US3902706A";"1973-12-26";"B23Q3/00 
B23Q1/03 
B23Q3/08 
B28D7/04";"B23Q1/03 (EP,US) 
B23Q3/08 (EP,US) 
B28D7/04 (EP,US)";"1975-09-02";"1975-09-02";"023696810";
"175";"HOLDER";"TANAKA JUNICHIRO 
MIKAWA ATSUSHI";"NIPPON KOSHUHA STEEL CO LTD";"JP2002283156A";"2001-03-23";"B23Q3/04 
B23Q3/06 
B23Q3/04 
B23Q3/06";"";"2002-10-03";"2002-10-03";"018940634";
"176";"Vertical band saw with cantilever frame";"YAKICH JOHN L [US]";"ARMSTRONG BLUM MFG CO [US]";"US4658689A";"1984-03-19";"B23D53/04 
B27B13/04 
B23D53/02 
B23D53/04";"B23D53/023 (EP,US) 
B23D53/04 (EP,US) 
Y10T83/7145 (EP,US) 
Y10T83/7214 (EP,US) 
Y10T83/7772 (EP,US)";"1987-04-21";"1987-04-21";"024364760";
"177";"Machine tool vise";"WOLFE INGO E 
KUBAN W G";"KURT MANUFACTURING CO INC";"US4223879A";"1979-05-29";"B23Q3/02 
B23Q3/06 
B25B1/24";"B23Q3/066 (EP,US) 
B25B1/2473 (EP,US)";"1980-09-23";"1980-09-23";"021924958";
"178";"Adjustable clamping jaw for a vise";"YANG TAI-HER [TW]";"";"US5799933A";"1996-08-19";"B25B1/24 
B25B1/24";"B25B1/2426 (EP,US)";"1998-09-01";"1998-09-01";"024808953";
"179";"MACHINE VISE SHANK";"KIM HYON-CHOL [KR]";"PARK SANG JE [KR]";"KR19980056435U 
KR200157744Y1";"1997-01-10";"B25B1/00 
B25B1/00";"B25B1/02 (KR) 
B25B1/10 (KR)";"1998-10-15 
1999-10-01";"1998-10-15";"019494358";
"180";"JIG FOR MACHINING";"YAMAKAWA KENICHI 
SAITO MASATOSHI";"RICOH KK";"JP2004090188A";"2002-09-02";"B23Q3/02 
B23Q3/02";"";"2004-03-25";"2004-03-25";"032062081";
"181";"Clip system for holding vise parallels";"SHEEHY JR JAMES J [US]";"PREC PRODUCTS CO INC [US]";"US6155550A";"1999-11-02";"B23Q3/06 
B25B1/24";"B25B1/2452 (EP,US) 
B25B1/2463 (EP,US)";"2000-12-05";"2000-12-05";"023716481";
"182";"TOOL HOLDER";"BONAC PETER [CA] 
BONAC TOMO [CA]";"BONAC PETER [CA] 
BONAC TOMO [CA]";"CA2259018A1";"1999-01-13";"B23B31/117 
B23C5/26 
B23Q3/14 
B23B31/117";"B23B31/117 (EP)";"2000-07-13";"2000-07-13";"029554980";
"183";"Method for delivering coolant to a band saw, and structure therefor";"YAKICH JOHN L [US]";"ARMSTRONG BLUM MFG CO [US]";"US4501181A";"1982-03-19";"B23D59/04 
B26D7/08 
B23D59/04 
B23Q11/10";"B23D59/04 (EP,US) 
Y10T83/263 (EP,US) 
Y10T83/293 (EP,US)";"1985-02-26";"1985-02-26";"023416228";
"184";"ROTATION FRICTION AGITATION JOINING METHOD OF DISSIMILIAR METAL MATERIAL";"TSUKADA MITSUO";"TSUKADA MITSUO";"JP2000301364A";"1999-04-12";"B23K103/18 
B23K20/12 
B23K20/16 
B23K20/24 
B23K33/00 
B23K20/12 
B23K20/16 
B23K20/24 
B23K33/00 
B23K103/18";"";"2000-10-31";"2000-10-31";"014383937";
"185";"Kein Titel verfügbar";"";"";"JPH07626U";"1993-06-11";"B23Q3/06 
B25B1/10 
B23Q3/06 
B25B1/10";"";"1995-01-06";"1995-01-06";"012331367";
"186";"Milling machine vises and the like and auxiliary jaws therefor";"CHENETTE EDMOND Z 
CHENETTE LEO E";"";"US3184228A";"1962-10-26";"B23Q3/02";"B23Q3/02 (EP,US)";"1965-05-18";"1965-05-18";"022876477";
"187";"Ручной станок (тиски) для формовки кирпича";"MEDVEDEV A A";"MEDVEDEV A A";"SU16580A1";"1928-10-23";"B28B11/12 
B28B7/04";"";"1930-08-31";"1930-08-31";"048336935";
"188";"Hydraulic double lock vise";"BERNSTEIN LEON M [US]";"KURT MFG CO [US]";"US5242159A";"1992-08-20";"B23Q3/08 
B25B1/18 
B25B1/24";"B25B1/18 (EP,US) 
B25B1/2473 (EP,US) 
B25B1/2478 (EP,US) 
B25B1/2489 (EP,US)";"1993-09-07";"1993-09-07";"025462897";
"189";"MACHINE TOOL VICE";"ARBUZOV VASILIJ T";"ARBUZOV VASILIJ T [SU]";"SU878562A1";"1979-04-17";"B25B1/10 
B25B1/10";"";"1981-11-07";"1981-11-07";"020823392";
"190";"METHOD OF ROTATING VICE AND ANGLE ADJUSTER";"OHASHI YOSHIYUKI";"AISIN SEIKI";"JP2004276220A";"2003-03-18";"B23Q3/02 
B23Q3/06 
B23Q3/18 
B23Q3/02 
B23Q3/06 
B23Q3/18";"";"2004-10-07";"2004-10-07";"033290184";
"191";"Machine or other vise";"HENRY JERRIM JAMES";"";"US1368399A";"1919-07-07";"B25B1/20";"B25B1/20 (EP,US)";"1921-02-15";"1921-02-15";"023196797";
"192";"HOLDER FOR POSITIONING WORKPIECE PRECISELY IN MACHINING AREA OF MACHINE TOOL";"NORDQUIST HAAKAN";"3R SYST INT AB";"JP2000334621A 
JP4542224B2";"1999-04-15";"B23H11/00 
B23Q3/00 
F16F15/04 
F16F7/00 
B23H11/00 
B23Q11/00 
B23Q3/00 
F16F15/04 
F16F7/00";"B23H11/003 (EP) 
B23Q11/0032 (EP)";"2000-12-05 
2010-09-08";"2000-10-18";"007904713";
"193";"CAM TYPE CLAMPING APPARATUS";"GOTOU YOSHIKUNI 
KAWAKAMI TERUHITO";"HITACHI LTD";"JPS60232879A";"1984-04-27";"B25B1/08 
B25B1/08";"";"1985-11-19";"1985-11-19";"013812039";
"194";"Quick-setting vise";"BUCKLEY GEORGE H";"NAT METAL PRODUCTS COMPANY";"US1415787A";"1920-09-15";"B25B1/10";"B25B1/103 (EP,US) 
B25B1/125 (EP,US)";"1922-05-09";"1922-05-09";"023625109";
"195";"Станичные параллельные тиски";"VOJTOV M T";"VOJTOV M T";"SU44107A1";"1935-01-31";"B25B1/02";"";"1935-08-31";"1935-08-31";"048358493";
"196";"QUICK ACTING VISE";"PITZER K 
KUEVER P";"ADJUSTABLE BUSHING CORP";"US3806107A";"1970-07-16";"B25B1/02 
B25B1/08 
B25B1/12";"B25B1/08 (EP,US) 
B25B1/12 (EP,US)";"1974-04-23";"1974-04-23";"026735145";
"197";"Kein Titel verfügbar";"";"";"SU470387A1";"1971-03-09";"B23Q3/06 
B25B1/02 
B23Q3/06 
B25B1/02";"";"1975-05-15";"1975-05-15";"020468510";
"198";"WORKPIECE MOUNTING METHOD USING PHOTOSENSITIVE DOUBLE COATED ADHESIVE TAPE, WORKPIECE MOUNTING PEDESTAL AND MACHINING DEVICE";"SUNAKAWA TAKASHI 
KINOSHITA HIROYUKI 
MURAMATSU MASAMI 
FUJII KAZUHIRO 
SAKAI AKIKO 
NATE KAZUO 
YOSHIMURA SHINJI";"SUGAWARA IND 
HITACHI SCIENCE SYSTEMS LTD";"JP2003103426A";"2001-09-28";"B23Q11/08 
B23Q3/08 
C09J7/00 
B23Q11/08 
B23Q3/08 
C09J7/00";"";"2003-04-08";"2003-04-08";"019120697";
"199";"Kein Titel verfügbar";"";"";"JPH0636771U";"1992-10-15";"B25B1/04 
B25B1/04";"";"1994-05-17";"1994-05-17";"013476814";
"200";"VISE";"FURANTSU FUKUSU";"SAURER ALLMA GMBH";"JPH04310374A";"1991-02-21";"B25B1/18 
B25B1/10 
B25B1/18";"B25B1/103 (EP) 
B25B1/106 (EP)";"1992-11-02";"1992-08-26";"006425568";
