"Espacenet";"";"";"";"";"";"";"";"";
"Patentsuche";"";"";"";"";"";"";"";"";
"277 Treffer gefunden für nftxt = ""maschinenschraubstock"" AND pd <= ""2005-01-01""";"";"";"";"";"";"";"";"";
"Treffer 1 bis 277 angezeigt";"";"";"";"";"";"";"";"";
"Abfragesprache: en / de / fr";"";"";"";"";"";"";"";"";
"Sortierkriterien: Relevanz";"";"";"";"";"";"";"";"";
"";"";"";"";"";"";"";"";"";
"No";"Titel";"Erfinder";"Anmelder";"Veröffentlichungsnummer";"Früheste Priorität";"IPC";"CPC";"Veröffentlichungsdatum";"Früheste Veröffentlichung";"Familiennummer";
"83";"SPANNEINRICHTUNG, INSBESONDERE MASCHINENSCHRAUBSTOCK";"ROEHM GUENTER HORST";"ROEHM GUENTER H";"DE2916179A1 
DE2916179C2";"1979-04-21";"B25B1/24 
B23Q3/02 
B25B1/18 
B25B1/10";"B25B1/103 (EP) 
B25B1/106 (EP)";"1980-10-30 
1987-05-07";"1980-10-22";"006068908";
"84";"Schraubstock mit Schnellwechselbacken";"SCHWAERZLER BERNHARD [DE]";"KESEL GEORG GMBH & CO KG [DE]";"DE10241815A1 
DE10241815B4";"2002-09-06";"B25B1/00 
B25B1/24 
B25B1/24 
B25B1/00";"B25B1/2405 (EP)";"2004-03-25 
2014-04-03";"2004-03-25";"031895751";
"85";"Kein Titel verfügbar";"";"";"DE8708680U1";"1987-06-23";"B23B39/00 
B23Q3/02 
B25B1/24";"B25B1/24 (EP)";"1988-01-28";"1988-01-28";"006809331";
"86";"PNEUMATISCH ANGETRIEBENE SPANNVORRICHTUNG, INSBESONDERE MASCHINENSCHRAUBSTOCK";"ZIMMERMANN HANS [DE] 
BLEEK HEINZ [DE]";"SAURER ALLMA GMBH [DE]";"DE3219621A1 
DE3219621C2";"1982-05-25";"B25B1/18 
B25B1/10 
B25B1/12";"B25B1/106 (EP) 
B25B1/125 (EP)";"1983-12-01 
1984-05-17";"1983-12-01";"006164442";
"87";"SPANNVORRICHTUNG, INSBESONDERE MASCHINENSCHRAUBSTOCK";"ARNOLD FRANZ";"ARNOLD FRANZ";"DE2626557A1 
DE2626557B2 
DE2626557C3";"1976-06-14";"B25B1/18 
B25B1/10 
B25B1/18";"B25B1/106 (EP) 
B25B1/18 (EP)";"1977-12-15 
1978-07-06 
1979-03-15";"1977-12-15";"005980476";
"88";"Kein Titel verfügbar";"";"";"DE9217670U1";"1992-12-24";"B23Q3/02 
B25B1/00 
B25B1/10 
B25B1/24";"B25B1/103 (EP) 
B25B1/2436 (EP) 
B25B1/2478 (EP)";"1993-05-13";"1993-05-13";"006887558";
"89";"Kein Titel verfügbar";"";"";"DE7917203U1";"";"B23Q3/02 
B23Q3/02";"B25B1/24 (EP) 
B25B1/2405 (EP) 
B25B5/08 (EP)";"1981-04-02";"1981-04-02";"001325080";
"90";"Spannvorrichtung, insbesondere Maschinenschraubstock";"BERCHTOLD HEINRICH [CH]";"GRESSEL AG [CH]";"EP0901884A1 
EP0901884B1";"1997-09-08";"B25B1/10 
B25B1/24 
B25B1/02 
B25B1/10 
B25B1/24 
F16B2/12";"B23Q3/00 (KR) 
B23Q3/06 (KR) 
B25B1/103 (EP,US) 
B25B1/2405 (EP,US) 
B25B1/2478 (EP,US) 
B25B1/2484 (EP,US)";"1999-03-17 
2001-11-07";"1999-01-14";"008045692";
"91";"Maschinenschraubstock";"";"FRITZ STEINHAUS 
WILHELM STEINHAUS";"DE477803C";"1928-05-27";"B23Q3/02 
B25B1/10";"B23Q3/02 (EP) 
B25B1/103 (EP) 
B25B1/125 (EP)";"1929-06-14";"1929-06-14";"007464641";
"92";"Vorrichtung zur Befestigung von Maschinenschraubstoecken";"ERDRICH OTTO [DE]";"ERDRICH OTTO [DE]";"DE2030819A1";"1970-06-23";"B23B47/28 
B23Q1/48";"B23Q1/4804 (EP)";"1971-12-30";"1971-12-30";"005774663";
"93";"SCHRAUBSTOCK FUER BOHRMASCHINEN ODER DERGLEICHEN";"HOERMANN GEORG";"HOERMANN GEORG";"DE2453249A1 
DE2453249B2 
DE2453249C3";"1974-11-09";"B23B47/28 
B23Q3/02 
B25B1/06";"B25B1/06 (EP)";"1976-05-13 
1980-07-10 
1981-03-19";"1976-05-13";"005930453";
"94";"Kein Titel verfügbar";"";"";"DE8215263U1";"";"B23B47/28 
B23Q3/02 
B23B47/28 
B23Q3/02";"";"1982-09-23";"1982-09-23";"001330260";
"95";"Kein Titel verfügbar";"";"";"DE8713461U1";"1987-10-07";"B25B1/18 
B25B1/10 
F16H25/18";"B25B1/106 (EP) 
F16H25/183 (EP)";"1989-02-02";"1989-02-02";"006812845";
"96";"Kein Titel verfügbar";"";"";"DE9208418U1";"1992-06-24";"B23Q3/02 
B23Q3/08 
B25B1/14 
B25B1/18 
B25B1/10 
B25B1/18";"B25B1/106 (EP) 
B25B1/18 (EP)";"1992-09-10";"1992-09-10";"006880856";
"97";"Kein Titel verfügbar";"";"";"DE8226687U1";"";"B23Q3/02 
B23Q3/02";"B25B1/00 (EP) 
B25B1/06 (EP) 
B25H1/14 (EP)";"1982-12-23";"1982-12-23";"001330811";
"98";"Vorrichtung zur Befestigung von Maschinenschraubstoecken";"ERDRICH OTTO [DE]";"ERDRICH OTTO [DE]";"DE2113626A1";"1970-06-23";"B23B47/28 
B23B45/16 
B23B47/28 
B23Q1/01";"B23B47/28 (EP) 
B23Q1/01 (EP) 
B23Q2701/01 (EP)";"1972-09-28";"1972-09-28";"005802284";
"99";"Spanngeraet, insbesondere Maschinenschraubstock";"TRUEMMLER EGON";"EGON TRUEMMLER";"DE1212909B";"1959-03-16";"B25B1/10";"B25B1/10 (EP)";"1966-03-17";"1966-03-17";"007548238";
"100";"MECHANISCHER KRAFTVERSTAERKER, INSBESONDERE FUER EINEN MASCHINENSCHRAUBSTOCK";"BOEHM OSCAR 
CENARUZZA IGNACIO 
ARNOLD FRANZ";"BOEHM OSCAR 
CENARUZZA IGNACIO 
ARNOLD FRANZ";"DE2517687B1 
DE2517687C2";"1975-04-22";"B23Q3/06 
F16H21/44 
B25B1/10 
F16H25/18";"B25B1/106 (EP) 
F16H25/183 (EP)";"1976-09-16 
1977-04-21";"1976-09-16";"005944610";
"101";"Kein Titel verfügbar";"";"";"DE2358320B1 
DE2358320C2";"1973-11-23";"B23Q3/02 
B25B1/24 
B25B1/22";"B25B1/22 (EP)";"1974-08-22 
1975-03-27";"1974-08-22";"005898830";
"102";"Kein Titel verfügbar";"";"";"DE9006421U1";"1990-06-07";"B23Q3/02 
B25B1/10 
F16H21/44";"B25B1/106 (EP) 
F16H21/44 (EP)";"1991-10-02";"1991-10-02";"006854478";
"103";"Kein Titel verfügbar";"";"";"DE1842787U";"";"";"B25B1/103 (EP) 
B25B1/18 (EP) 
B25B1/2405 (EP)";"1961-11-30";"1961-11-30";"033006230";
"104";"Einstelleinrichtung für die Spannkraft bei einer Spannvorrichtung, insbesondere Maschinenschraubstock.";"PESCH KARL [DE]";"ROEHM GUENTER H [DE]";"EP0582792A1 
EP0582792B1";"1992-07-14";"B25B1/10 
B25B1/10 
B25B1/24";"B25B1/106 (EP) 
B25B1/24 (EP)";"1994-02-16 
1995-07-12";"1994-01-20";"006463149";
"105";"Vorrichtung an Maschinenschraubstöcken zum zentrischen Spannen von Werkstücken.";"KRAUSE LUDWIG M DIPL-ING FH [DE]";"SAURER ALLMA GMBH [DE]";"EP0411472A1";"1989-08-03";"B25B1/10 
B23Q3/06 
B25B1/10 
B25B1/24";"B25B1/103 (EP) 
B25B1/106 (EP)";"1991-02-06";"1991-02-06";"006386455";
"106";"Maschinenschraubstock";"ELIAS NAPOLEON EKLUND [SE] 
PER ALDRIN [SE]";"E N EKLUNDS MEK VERKSTAD AB [SE]";"CH381179A";"1959-05-16";"B25B1/22";"B25B1/22 (EP)";"1964-08-14";"1960-09-01";"020264822";
"107";"Maschinenschraubstock.";"JERRIM JAMES HENRY [GB]";"JERRIM JAMES HENRY [GB]";"AT90317B";"1918-02-13";"";"";"1922-12-11";"1922-12-11";"009864061";
"108";"Kein Titel verfügbar";"";"";"DE8908107U1";"1989-05-11";"B23Q3/02 
B25B1/00 
B25B1/24";"B25B1/2489 (EP)";"1989-11-09";"1989-11-09";"005609103";
"109";"Mechanischer Kraftverstärker, insbesondere für einen Maschinenschraubstock";"";"BOEHM OSCAR 
CENARUZZA IGNACIO 
ARNOLD FRANZ";"DE7512789U";"1975-04-22";"B23Q3/06 
F16H25/00 
B25B1/10 
B25B1/24 
F16H21/44 
F16H25/18";"B25B1/106 (EP,US) 
F16H21/44 (EP,US) 
F16H25/183 (EP,US) 
Y10T74/18992 (EP,US)";"1976-01-29";"1976-01-29";"006651732";
"110";"Kein Titel verfügbar";"";"";"DE9204016U1";"1992-03-25";"B23Q3/02 
B25B1/18 
B25B1/10";"B25B1/106 (EP)";"1993-07-22";"1993-07-22";"006877666";
"111";"Vice with fixed and moving jaw - has spindle for movement of intensifier which thrusts against vice base part";"";"";"DE4018194C1";"1990-06-07";"B23Q3/02 
B25B1/10 
B25B1/18 
B25B1/24";"B25B1/106 (EP) 
B25B1/18 (EP) 
B25B1/2473 (EP)";"1991-04-18";"1991-04-18";"006407928";
"112";"MECHANISCH-HYDRAULISCHES SPANNGERAET.";"ARNOLD FRANZ [DE]";"ARNOLD FRANZ [DE]";"DE1923900U";"1960-11-23";"";"";"1965-09-16";"1965-09-16";"033316975";
"113";"Schraubstock, insbesondere Maschinenschraubstock.";"FRIEDRICH SINZIG [CH]";"SINZIG FRIEDRICH [CH]";"CH263354A";"1945-10-01";"B25B1/10";"B25B1/103 (EP) 
B25B1/2405 (EP) 
B25B1/2436 (EP)";"1949-08-31";"1949-08-31";"004474813";
"114";"Kein Titel verfügbar";"";"";"DE9208893U1";"1992-07-03";"B25B1/20 
B25B1/24 
B25B1/24";"B25B1/2421 (EP) 
B25B1/2457 (EP)";"1992-09-10";"1992-09-10";"006881210";
"115";"Maschinenschraubstock";"BROCKHAUS RICHARD";"JOSEF HEUER";"DE679844C";"1936-01-03";"B25B1/24";"B25B1/2489 (EP)";"1939-09-11";"1939-09-11";"007179857";
"116";"Mechanische Spanneinrichtung.";"SCHAER PAUL [CH]";"GREMOLITH AG [CH]";"EP0477134A1";"1990-09-20";"B25B1/10 
B25B1/10 
B25B1/24";"B25B1/106 (EP) 
B25B1/24 (EP)";"1992-03-25";"1992-03-25";"004247295";
"117";"Werkstückspanneinrichtung für Klein- und Mittelserien";"ROSENKRANZ MANFRED [DE]";"ROSENKRANZ MANFRED [DE]";"DE10027536A1";"2000-06-02";"B23Q3/02 
B25B1/10 
B25B1/12";"B25B1/10 (EP) 
B25B1/12 (EP)";"2001-12-06";"2001-12-06";"007644571";
"118";"Dreipunkt-Einspannvorrichtung fuer Werkstuecke mit runden oder winklig zueinander verlaufenden Begrenzungsflaechen";"SOMMER PAUL";"PAUL SOMMER";"DE952610C";"1952-06-06";"B25B1/24";"B25B1/2405 (EP) 
B25B1/241 (EP) 
B25B1/2415 (EP)";"1956-11-15";"1956-11-15";"007479558";
"119";"Schnellspannvorrichtung";"";"KESEL GEORG GMBH & CO KG [DE]";"DE20113625U1";"2001-08-22";"B25B1/00 
B25B1/12 
B25B1/18";"B25B1/12 (EP) 
B25B1/18 (EP)";"2001-10-18";"2001-10-18";"007960620";
"120";"Um die Spannachse drehbarer Maschinenschraubstock.";"";"BERLINER GUSZSTAHLFABRIK & EIS";"AT15766B";"1903-06-15";"";"";"1904-04-11";"1904-04-11";"003516398";
"121";"IN DIE SPINDEL EINES MASCHINENSCHRAUBSTOCKES INTEGRIERTE STUFENLOSE ARRETIERVORRICHTUNG";"SZEBOLD JOHANN DIPL ING [DE]";"KONTEC GMBH [DE]";"DE4011107A1 
DE4011107C2";"1990-04-06";"B25B7/02 
B23Q3/02 
B25B1/02 
B25B1/18";"B25B1/18 (EP)";"1991-10-10 
1992-10-08";"1991-10-10";"006403872";
"122";"Kein Titel verfügbar";"";"";"DE1784195U";"";"";"B25B25/00 (EP)";"1959-02-26";"1959-02-26";"032859441";
"123";"SPANN-, BOHR- UND BEARBEITUNGSVORRICHTUNG MIT VARIABLEN ANSCHLAEGEN FUER SCHRAUBSTOECKE, INSBESONDERE BOHR- UND MASCHINEN-SCHRAUBSTOECKE, SOWIE FUER METALL-, KUNSTSTOFF- UND HOLZBEARBEITUNGSMASCHINEN.";"BINDL ALOIS [DE]";"BINDL ALOIS [DE]";"DE1971495U";"1967-07-31";"";"B23G1/00 (EP) 
B25B5/006 (EP)";"1967-10-26";"1967-10-26";"033325422";
"124";"Kein Titel verfügbar";"";"";"DE7832977U1";"";"B23Q3/02 
B23Q3/02";"B25B1/103 (EP)";"1980-04-17";"1980-04-17";"001323899";
"125";"Backe für Spannvorrichtungen";"SCHIRLING KLAUS [DE]";"KLAUS SCHIRLING FRAESTECHNIK W [DE]";"DE4321531A1";"1992-07-03";"B23Q3/02 
B25B1/20 
B25B1/24 
B25B1/24";"B25B1/2421 (EP) 
B25B1/2452 (EP)";"1994-01-05";"1994-01-05";"025927205";
"126";"Kein Titel verfügbar";"";"";"DE8028201U1";"";"B23Q3/02 
B23Q3/02";"B25B1/18 (EP) 
B25B5/122 (EP)";"1982-04-08";"1982-04-08";"001327404";
"127";"Einrichtung zum Spannen eines Maschinenschraubstockes auf dem Maschinentisch einer Werkzeugmaschine, insbesondere einer Ständerbohrmaschine";"FEISTE RUEDIGER [DE] 
LINKE CHRISTIAN [DE] 
KLEY THOMAS [DE] 
MUELLER DENIS [DE]";"VER ENERGIEWERKE AG [DE]";"DE19609269A1 
DE19609269C2";"1996-02-28";"B23Q3/02 
B25B11/00 
B23B47/28 
B23Q1/00 
B23Q16/08 
B25B1/22 
B25B1/24";"B23Q1/0063 (EP) 
B23Q16/08 (EP) 
B25B1/22 (EP) 
B25B1/2484 (EP)";"1997-09-04 
1999-01-21";"1997-09-04";"007787790";
"128";"Vielseitig verwendbares Werkstaettengeraet zur spanabhebenden Bearbeitung";"LUCE HANS";"HOMMEL G M B H H";"DE876792C";"1942-01-15";"B23B17/00 
B23P23/02 
B23Q37/00";"B23P23/02 (EP) 
B23Q1/00 (EP) 
B23Q37/00 (EP)";"1953-05-18";"1953-05-18";"007144533";
"129";"Antrieb für einen Maschinenschraubstock.";"FEISTENAUER HARALD 
KRAUSE LUDWIG";"SAURER ALLMA GMBH [DE]";"EP0340602A1 
EP0340602B1";"1988-05-06";"B25B1/10 
B25B1/24 
B25B1/06 
B25B1/10 
B25B1/24";"B25B1/00 (KR) 
B25B1/106 (EP,US) 
B25B1/2473 (EP,US)";"1989-11-08 
1992-07-01";"1988-06-30";"006823803";
"130";"Schraubstock, insbesondere zum Spannen von Massenteilen";"BAUER HERMANN";"BAUER HERMANN";"DE814876C";"1948-10-02";"B25B1/08 
B25B1/10 
B25B1/12 
B25B1/16";"B25B1/08 (EP) 
B25B1/103 (EP) 
B25B1/125 (EP) 
B25B1/16 (EP)";"1951-09-27";"1951-09-27";"007364778";
"131";"Kein Titel verfügbar";"";"";"DE1825095U";"";"";"B25B1/06 (EP)";"1961-01-12";"1961-01-12";"032971328";
"132";"SCHRAUBSTOCK ZUM ZENTRISCHEN SPANNEN";"KRAUSE LUDWIG M DIPL ING [DE]";"SAURER ALLMA GMBH [DE]";"DE3925718A1";"1989-08-03";"B23Q3/02 
B25B1/18 
B25B1/10";"B25B1/103 (EP) 
B25B1/106 (EP)";"1991-02-07";"1991-02-07";"006386456";
"133";"Kein Titel verfügbar";"";"";"DE8215194U1";"";"B23Q3/02 
B23Q3/02";"B25B1/18 (EP)";"1983-11-10";"1983-11-10";"001330256";
"134";"Kein Titel verfügbar";"";"";"DE7120624U";"1971-05-24";"B25B1/24";"B25B1/2452 (EP)";"1971-09-09";"1971-09-09";"006621541";
"135";"Kein Titel verfügbar";"";"";"DE9104696U1";"1991-04-17";"B23Q3/02 
B25B1/18 
B25B11/00 
F16B2/00 
B25B1/10 
B25B1/24";"B25B1/103 (EP) 
B25B1/106 (EP) 
B25B1/24 (EP)";"1992-08-13";"1992-08-13";"006866411";
"136";"Schraubstock, insbesondere Maschinenschraubstock.";"GOOD JOHANN";"GOOD JOHANN";"EP0107763A2 
EP0107763A3 
EP0107763B1";"1982-10-06";"B25B1/12 
B25B1/18 
B25B1/24 
B25B1/12 
B25B1/18 
B25B1/24";"B25B1/125 (EP) 
B25B1/18 (EP) 
B25B1/2405 (EP)";"1984-05-09 
1986-01-15 
1988-11-09";"1984-05-09";"004300498";
"137";"ZENTRIER- UND SPANNSCHRAUBEN-VORRICHTUNG";"";"JOHANN SPREITZER WERKZEUG NORM [DE]";"DE4116979A1";"1991-05-23";"B23Q3/00 
B25B1/10 
B25B1/18 
B25B1/06 
B25B1/10 
B25B1/18";"B25B1/06 (EP) 
B25B1/103 (EP) 
B25B1/18 (EP)";"1992-11-26";"1992-11-26";"006432340";
"138";"Spannvorrichtung";"";"KESEL GEORG GMBH & CO KG [DE]";"DE20022497U1";"2000-05-23";"B23Q3/02 
B25B1/10 
B25B1/12 
B25B1/18 
B25B1/12";"B25B1/125 (EP)";"2001-10-25";"2001-10-25";"026005791";
"139";"Einrichtung zum Spannen eines Maschinenschraubstockes auf dem Maschinentisch einer Werkzeugmaschine, insbesondere einer Ständerbohrmaschine";"FEISTE RUEDIGER [DE] 
LINKE CHRISTIAN [DE] 
KLEY THOMAS [DE] 
MUELLER DENIS [DE]";"VER ENERGIEWERKE AG [DE]";"DE19739418A1 
DE19739418C2";"1996-02-28";"B23Q3/02 
B25B11/00 
B23B47/28 
B25B1/22 
B25B1/24";"B25B1/22 (EP) 
B25B1/2484 (EP)";"1999-03-11 
2000-03-30";"1999-03-11";"026023642";
"140";"SCHRAUBSTOCK ODER DERGL. SPANNGERAET";"ROEHM GUENTER HORST [DE]";"ROEHM GUENTER H";"DE3244377A1";"1982-12-01";"B25B1/10 
B25B1/12";"B25B1/125 (EP)";"1984-06-07";"1984-05-01";"006179493";
"141";"PARALLEL-SCHRAUBSTOCK";"";"ROEMHELD K G A [DE]";"DE6941015U";"1969-10-21";"";"B25B1/18 (EP) 
B25B1/2405 (EP)";"1970-03-19";"1970-03-19";"034126009";
"142";"Spannkrafteinstellvorrichtung für eine Spannvorrichtung.";"BERCHTOLD HEINRICH DIPL-ING [CH]";"GRESSEL AG [CH]";"EP0509265A2 
EP0509265A3 
EP0509265B1";"1991-04-17";"B25B1/10 
B25B1/24 
B23Q3/02 
B23Q3/06 
B25B1/06 
B25B1/10 
B25B1/24";"B25B1/103 (EP,US) 
B25B1/18 (KR) 
B25B1/24 (EP,US)";"1992-10-21 
1993-03-10 
1995-05-24";"1992-10-21";"006429795";
"143";"Mechanisch-hydraulische Spannvorrichtung";"PREWO WILLI 
GIENGER SIEGFRIED";"WILLI PREWO WERKZEUG U MASCHIN";"DE1900835A1 
DE1900835B2 
DE1900835C3";"1969-01-09";"B25B1/00 
B25B1/10 
B25B1/24";"B25B1/106 (EP) 
B25B1/2473 (EP)";"1970-10-15 
1974-08-15 
1975-04-03";"1970-10-15";"005721961";
"144";"Kein Titel verfügbar";"";"";"DE2305487B1 
DE2305487C2";"1973-02-05";"B23Q3/06 
B23Q3/06";"B23Q3/066 (EP)";"1974-04-11 
1974-11-07";"1974-04-11";"005870945";
"145";"Kein Titel verfügbar";"";"";"DE8525907U1";"1985-09-11";"B25B1/18 
B25B1/18";"B25B1/18 (EP)";"1985-12-19";"1985-12-19";"006785114";
"146";"SCHRAUBSTOCK, INSBESONDERE MASCHINEN-  SCHRAUBSTOCK";"";"ROEHM GMBH";"DE2909937A1 
DE2909937C2";"1979-03-14";"B23Q3/02 
B25B1/02 
B23Q3/06";"B23Q3/066 (EP)";"1980-09-25 
1988-03-17";"1980-09-15";"006065320";
"147";"Spann- beziehungsweise Greifsystem";"MILZ PANKRAZ [DE]";"ALLMATIC JAKOB GMBH & CO [DE] 
ALLMATIC JAKOB GMBH & CO SPANN [DE]";"EP1329283A2 
EP1329283A3 
EP1329283B1";"2002-01-15";"B23Q3/06 
B23Q3/08 
B25B1/02 
B25B1/18";"B25B1/18 (EP)";"2003-07-23 
2003-10-29 
2005-10-26";"2003-07-23";"007712167";
"148";"Kein Titel verfügbar";"";"";"DE1700098U";"";"";"B25B5/163 (EP)";"1955-06-08";"1955-06-08";"032306632";
"149";"Schraubstock";"";"BAUMGAERTNER HANS PETER [DE]";"DE20206441U1";"2002-04-23";"B23Q3/02 
B25B1/02 
B25B1/10 
B25B1/24";"B25B1/103 (EP) 
B25B1/2489 (EP)";"2002-08-14";"2002-08-14";"007970448";
"150";"Maschinen-Schraubstock mit Aufspanneinrichtung.";"MUELLER-ZOLLINGER CIE R [CH]";"MUELLER ZOLLINGER & CIE R [CH]";"CH206781A";"1938-10-11";"B25B1/22 
B25B1/24";"B25B1/22 (EP) 
B25B1/2457 (EP)";"1939-08-31";"1939-08-31";"004445212";
"151";"Kein Titel verfügbar";"";"";"DE9006613U1";"1990-06-12";"B23B31/20 
B23Q1/28 
B23Q1/52 
B23Q3/06";"B23Q1/28 (EP) 
B23Q1/522 (EP) 
B23Q3/067 (EP)";"1990-08-23";"1990-08-23";"006854609";
"152";"Kein Titel verfügbar";"";"ARNOLD FRANZ 
BOEHM OSCAR";"CH587098A5";"1973-11-23";"B23Q3/02 
B23Q1/28 
B23Q3/10";"B23Q1/28 (EP,US) 
B23Q3/102 (EP,US)";"1977-04-29";"1975-06-20";"005902326";
"153";"VORRICHTUNG ZUR VERSCHWENK- UND FESTSTELLBAREN LAGERUNG EINES MASCHINENSCHRAUBSTOCKES AUF EINEM MASCHINENTISCH";"WAGNER HEINZ [CH] 
WERMUTH CHARLES [CH] 
WUERTHELE ADOLF [CH]";"GRESSEL AG [CH]";"DE3232496A1 
DE3232496C2";"1981-11-03";"B23Q3/04 
B23Q1/28 
B23Q1/52 
B25B1/22";"B23Q1/28 (EP) 
B23Q1/522 (EP) 
B25B1/22 (EP)";"1983-05-11 
1983-10-20";"1983-05-11";"025797044";
"154";"Maschinenschraubstock.";"BUSCH HANS";"BUSCH HANS";"AT99629B";"1924-04-12";"";"";"1925-04-10";"1925-04-10";"003618781";
"155";"MASCHINENSCHRAUBSTOCK.";"";"SCHOEN & CIE G M B H [DE]";"DE1643140U";"1952-05-15";"";"";"1952-09-04";"1952-09-04";"030464486";
"156";"DREHBARER SPANNTISCH.";"BAIER FRIEDRICH [DE]";"BAIER FRIEDRICH [DE]";"DE1808960U";"1959-06-16";"";"";"1960-03-31";"1960-03-31";"032914283";
"157";"Spannvorrichtung für Werkstücke";"";"BUEHLER WOLFGANG [DE]";"DE29513910U1";"1995-08-30";"B23Q3/02 
B23Q16/00 
B23Q3/10 
B25B1/24";"B23Q16/001 (EP) 
B23Q3/103 (EP) 
B25B1/24 (EP)";"1995-10-19";"1995-10-19";"008012392";
"158";"Kein Titel verfügbar";"";"";"DE8232914U1";"";"B23Q3/02 
B23Q3/02";"";"1983-03-03";"1983-03-03";"001331115";
"159";"Maschinen-Parallelschraubstock mit niederziehenden Spannbacken";"";"JOHANN SCHMIDT";"DE499040C";"1927-02-06";"B23B31/30 
B23Q3/02 
B25B1/10 
B25B1/24";"B23B31/30 (EP) 
B23Q3/02 (EP) 
B25B1/103 (EP) 
B25B1/2473 (EP)";"1930-06-13";"1930-06-13";"007442326";
"160";"Kein Titel verfügbar";"";"";"DE1880557U";"";"";"B25B1/20 (EP)";"1963-10-10";"1963-10-10";"033180174";
"161";"Universal-Spann- oder Bearbeitungsvorrichtung mit Anschlaegen";"BINDL ALOIS";"BINDL ALOIS";"DE1603735A1";"1967-07-31";"B25B1/24";"B25B1/2468 (EP)";"1971-02-18";"1971-02-18";"006987129";
"162";"Kein Titel verfügbar";"";"";"DE8303171U1";"";"B23Q3/00 
B23Q3/00";"";"1983-10-20";"1983-10-20";"001331469";
"163";"AUFSPANNVORRICHTUNG FUER WERKZEUGMASCHINEN, INSBESONDERE SCHLEIFMASCHINEN.";"";"DEUTSCHE EDELSTAHLWERKE AG [DE]";"DE1873864U";"1963-02-04";"";"B23Q3/06 (EP) 
B25B1/00 (EP) 
B25B1/06 (EP) 
B25B5/006 (EP) 
B25B5/04 (EP) 
B25B5/08 (EP) 
B25B5/163 (EP)";"1963-06-12";"1963-06-12";"033163961";
"164";"Schraubstock";"P ZHED VICTOR 
Z SELJUKOV JURY 
K ZAITSEV MIKHAIL 
I SHPAKOVSKY ALEXANDR 
V BAZYLKO VASILY";"EXNII METALLOREZH STANKOV";"DE1288522B";"1965-01-27";"B25B1/12 
B25B1/18";"B25B1/12 (EP) 
B25B1/18 (EP)";"1969-01-30";"1969-01-30";"007073414";
"165";"WINKELEINSTELLVORRICHTUNG, INSBESONDERE  FUER MASCHIENNSCHRAUBSTAECKE";"ARNOLD FRANZ";"ARNOLD FRANZ";"DE2365373A1 
DE2365373B2";"1973-11-23";"B23Q17/16 
B23Q1/28 
B23Q1/48 
B25B1/22";"B23Q1/28 (EP) 
B23Q1/4866 (EP) 
B25B1/22 (EP)";"1975-05-28 
1975-09-25";"1975-05-28";"025766141";
"166";"SPANNEINRICHTUNG";"HOERL BERNHARD [DE] 
HOERL ROLAND [DE]";"HOERL BERNHARD [DE]";"DE4118376A1";"1990-06-12";"B23B31/20 
B23Q3/06";"B23Q3/067 (EP)";"1991-12-19";"1991-12-19";"025904252";
"167";"Maschinen-Schraubstock mit Aufspanneinrichtung.";"MUELLER-ZOLLINGER CO R [CH]";"MUELLER ZOLLINGER & CO R [CH]";"CH225507A";"1938-10-11";"B25B1/22";"B25B1/22 (EP)";"1943-01-31";"1943-01-31";"025724355";
"168";"Druckstück";"";"SCHWARZ MARTIN [DE]";"DE29802803U1";"1998-02-18";"B23Q3/02 
B25B1/24 
B25B1/24";"B25B1/2452 (EP) 
B25B1/2457 (EP) 
B25B1/2463 (EP)";"1998-04-30";"1998-04-30";"008052852";
"169";"Kein Titel verfügbar";"";"";"DE8132042U1";"";"B23Q3/02 
B25B1/22 
B23Q3/02 
B25B1/22";"B23Q1/52 (EP)";"1983-04-14";"1983-04-14";"001329271";
"170";"Anschlageinrichtung für eine Werkzeugmaschine";"";"GRUMBACH JOERG [DE]";"DE29603498U1";"1996-02-27";"B23Q3/18 
B23Q1/62 
B23Q16/00";"B23Q1/621 (EP) 
B23Q16/001 (EP)";"1997-03-27";"1997-03-27";"008020135";
"171";"SCHNELL EINRASTENDE ZUSATZEINHEIT FÜR MASCHINEN-SCHRAUBSTÖCKE.";"DURFEE DAVID [US]";"DURFEE SUSAN M [US]";"DE68914276T2";"1986-12-15";"B25B1/24 
B25B1/10 
B25B1/24";"B25B1/24 (EP,KR,US) 
B25B1/2463 (EP,US)";"1994-08-11";"1990-02-08";"022836451";
"172";"SCHRAUBSTOCK MIT DOPPELTER SCHRAUBSTOCKOEFFNUNG";"BRUNO MARIO [IT]";"BRUNO MARIO [IT] 
COSTA GIULIO [IT]";"DE3242319A1";"1981-11-24";"B23Q3/02 
B25B1/24 
B23D47/04 
B23D51/04 
B25B1/24 
B25H1/00";"B23D47/04 (EP) 
B23D51/04 (EP) 
B25B1/24 (EP) 
B25B1/2457 (EP) 
B25B1/2478 (EP) 
B25H1/005 (EP)";"1983-06-01";"1983-06-01";"027452959";
"173";"Kein Titel verfügbar";"";"";"DE8911992U1";"1989-10-07";"B23Q3/06 
B25B1/00 
B25B1/24 
B25B5/00";"B25B1/2484 (EP) 
B25B5/006 (EP)";"1989-11-30";"1989-11-30";"006843554";
