publication_number,title,url,code,number_of_cited_by
US-4945050-A,Method for transporting substances into living cells and tissues and apparatus therefor,https://patents.google.com/patent/US4945050A,C12M35/00,2216
US-7604150-B2,Surgical stapling instrument with an anti-back up mechanism,https://patents.google.com/patent/US7604150B2,A61B17/072,2215
US-7448525-B2,Pneumatically powered surgical cutting and fastening instrument with manually operated retraction apparatus,https://patents.google.com/patent/US7448525B2,A61B2017/2927,2214
US-5899855-A,Modular microprocessor-based health monitoring system,https://patents.google.com/patent/US5899855A,A61B5/087,2214
US-6517565-B1,Carriage assembly for controlling a steering wire steering mechanism within a flexible shaft,https://patents.google.com/patent/US6517565B1,A61B2017/07214,2213
US-6092083-A,Database management system which synchronizes an enterprise server and a workgroup user client using a docking agent,https://patents.google.com/patent/US6092083A,G06F16/27,2213
US-6488196-B1,Surgical stapler and method of applying plastic staples to body tissue,https://patents.google.com/patent/US6488196B1,A61B2017/07214,2213
US-6434550-B1,Temporal updates of relevancy rating of retrieved information in an information search system,https://patents.google.com/patent/US6434550B1,G06F16/30,2212
US-5454827-A,Surgical instrument,https://patents.google.com/patent/US5454827A,A61B1/00042,2212
US-7559450-B2,Surgical instrument incorporating a fluid transfer controlled articulation mechanism,https://patents.google.com/patent/US7559450B2,E02D2600/30,2212
US-6400996-B1,Adaptive pattern recognition based control system and method,https://patents.google.com/patent/US6400996B1,G06V40/103,2212
US-7726537-B2,Surgical stapler with universal articulation and tissue pre-clamp,https://patents.google.com/patent/US7726537B2,A61B2017/2932,2212
US-6126058-A,Method and device for full thickness resectioning of an organ,https://patents.google.com/patent/US6126058A,A61B2017/07214,2211
US-6770070-B1,Lung treatment apparatus and method,https://patents.google.com/patent/US6770070B1,A61B18/1487,2210
US-8453914-B2,Motor-driven surgical cutting instrument with electric actuator directional control assembly,https://patents.google.com/patent/US8453914B2,H01H3/16,2210
US-5878938-A,Surgical stapler with improved locking mechanism,https://patents.google.com/patent/US5878938A,A61B2017/07285,2210
US-5680981-A,Self-contained powered surgical apparatus,https://patents.google.com/patent/US5680981A,A61B17/0684,2209
US-8573461-B2,Surgical stapling instruments with cam-driven staple deployment arrangements,https://patents.google.com/patent/US8573461B2,A61B34/30,2207
US-3802817-A,Apparatus for producing non-woven fleeces,https://patents.google.com/patent/US3802817A,D04H3/03,2207
US-8602288-B2,Robotically-controlled motorized surgical end effector system with rotary actuated closure systems having variable actuation speeds,https://patents.google.com/patent/US8602288B2,H02J2310/23,2207
US-5645209-A,Self contained gas powered surgical apparatus,https://patents.google.com/patent/US5645209A,A61B17/07207,2206
US-5636780-A,Self contained gas powered surgical apparatus,https://patents.google.com/patent/US5636780A,A61B2017/2926,2205
US-5769892-A,Surgical stapler sleeve for reinforcing staple lines,https://patents.google.com/patent/US5769892A,A61B17/07292,2205
US-4931047-A,Method and apparatus for providing enhanced tissue fragmentation and/or hemostasis,https://patents.google.com/patent/US4931047A,A61B2017/320069,2205
US-5535935-A,Surgical stapler with mechanisms for reducing the firing force,https://patents.google.com/patent/US5535935A,A61B2017/2911,2205
US-7810693-B2,Surgical stapling and cutting instrument with articulatable end effector,https://patents.google.com/patent/US7810693B2,A61B2017/2927,2204
US-5553765-A,Surgical stapler with improved operating lever mounting arrangement,https://patents.google.com/patent/US5553765A,A61B2017/2923,2204
US-5669544-A,Surgical instrument,https://patents.google.com/patent/US5669544A,A61B2017/07228,2203
US-2009254971-A1,Secure data interchange,https://patents.google.com/patent/US20090254971A1,G06Q10/10,2202
US-5271544-A,Surgical anastomosis stapling instrument,https://patents.google.com/patent/US5271544A,A61B2017/07257,2202
US-5731168-A,Method for making heteromultimeric polypeptides,https://patents.google.com/patent/US5731168A,A61K38/00,2201
US-7213736-B2,Surgical stapling instrument incorporating an electroactive polymer actuated firing bar track through an articulation joint,https://patents.google.com/patent/US7213736B2,A61B17/04,2198
US-5281216-A,Electrosurgical bipolar treating apparatus,https://patents.google.com/patent/US5281216A,A61B18/1402,2198
WO-9824893-A2,TRANSGENIC MAMMALS HAVING HUMAN IG LOCI INCLUDING PLURAL VH AND Vλ REGIONS AND ANTIBODIES PRODUCED THEREFROM,https://patents.google.com/patent/WO1998024893A2,A61P37/06,2195
US-5817119-A,Surgical instrument for endoscopic and general surgery,https://patents.google.com/patent/US5817119A,A61B2017/2943,2194
US-5819038-A,Collaboration system for producing copies of image generated by first program on first computer on other computers and annotating the image by second program,https://patents.google.com/patent/US5819038A,H04L65/1101,2194
US-2002072951-A1,"Marketing support database management method, system and program product",https://patents.google.com/patent/US20020072951A1,G06Q10/063,2193
US-6011725-A,Two bit non-volatile electrically erasable and programmable semiconductor memory cell utilizing asymmetrical charge trapping,https://patents.google.com/patent/US6011725A,G11C16/10,2193
US-4837028-A,Liposomes with enhanced circulation time,https://patents.google.com/patent/US4837028A,Y10S436/829,2192
US-4827911-A,Method and apparatus for ultrasonic surgical fragmentation and removal of tissue,https://patents.google.com/patent/US4827911A,A61B2017/00146,2192
US-4886062-A,Intravascular radially expandable stent and method of implant,https://patents.google.com/patent/US4886062A,A61F2/958,2191
US-5014899-A,Surgical stapling apparatus,https://patents.google.com/patent/US5014899A,A61B17/07207,2190
US-6086600-A,Flexible endoscopic surgical instrument for invagination and fundoplication,https://patents.google.com/patent/US6086600A,A61B1/00087,2190
US-7832408-B2,Surgical instrument having a directional switching mechanism,https://patents.google.com/patent/US7832408B2,A61B2017/00367,2190
US-4576167-A,Surgical stapler apparatus with curved shaft,https://patents.google.com/patent/US4576167A,A61B17/115,2188
US-8011550-B2,Surgical stapling apparatus,https://patents.google.com/patent/US8011550B2,A61B17/07207,2188
US-6063097-A,Supporting element for staple region,https://patents.google.com/patent/US6063097A,A61B17/07292,2187
US-7070083-B2,Surgical stapling apparatus including an anvil and cartridge each having cooperating mating surfaces,https://patents.google.com/patent/US7070083B2,A61B17/07207,2187
US-7793812-B2,Disposable motor-driven loading unit for use with a surgical cutting and stapling apparatus,https://patents.google.com/patent/US7793812B2,A61B2017/00017,2187
US-5693051-A,Electrosurgical hemostatic device with adaptive electrodes,https://patents.google.com/patent/US5693051A,A61B2018/00702,2186
US-4700703-A,Cartridge assembly for a surgical stapling instrument,https://patents.google.com/patent/US4700703A,A61B17/115,2185
US-2003151633-A1,Method and system for enabling connectivity to a data system,https://patents.google.com/patent/US20030151633A1,G06F16/9577,2184
US-5602240-A,Backbone modified oligonucleotide analogs,https://patents.google.com/patent/US5602240A,C07D405/04,2184
US-2004186860-A1,Method and architecture for providing data-change alerts to external applications via a push service,https://patents.google.com/patent/US20040186860A1,H04L67/55,2184
US-6817508-B1,Surgical stapling device,https://patents.google.com/patent/US6817508B1,A61B17/072,2184
US-6446089-B1,Method of using a cache to determine the visibility to a remote database client of a plurality of database transactions,https://patents.google.com/patent/US6446089B1,G06F16/278,2183
US-5822715-A,Diabetes management system and method for controlling blood glucose,https://patents.google.com/patent/US5822715A,G16H40/63,2183
US-7824401-B2,Robotic tool with wristed monopolar electrosurgical end effectors,https://patents.google.com/patent/US7824401B2,A61B18/1442,2182
US-5599350-A,Electrosurgical clamping device with coagulation feedback,https://patents.google.com/patent/US5599350A,A61B2018/126,2182
US-5410326-A,Programmable remote control device for interacting with a plurality of remotely controlled devices,https://patents.google.com/patent/US5410326A,H04N21/44222,2181
US-9520482-B1,Method of cutting metal gate,https://patents.google.com/patent/US9520482B1,H01L21/823814,2181
US-8752749-B2,Robotically-controlled disposable motor-driven loading unit,https://patents.google.com/patent/US8752749B2,A61B17/072,2180
US-5969108-A,Methods for producing members of specific binding pairs,https://patents.google.com/patent/US5969108A,C12N15/73,2180
US-6178425-B1,Method of determining the visibility to a remote database client of a plurality of database transactions using simplified visibility rules,https://patents.google.com/patent/US6178425B1,Y10S707/99953,2179
US-6324568-B1,Method and system for distributing objects over a network,https://patents.google.com/patent/US6324568B1,G06F16/958,2179
US-7721930-B2,Disposable cartridge with adhesive for use with a stapling device,https://patents.google.com/patent/US7721930B2,A61B2017/320052,2178
US-5628446-A,Self-contained powered surgical apparatus,https://patents.google.com/patent/US5628446A,A61B17/0684,2178
US-5807393-A,Surgical tissue treating device with locking mechanism,https://patents.google.com/patent/US5807393A,A61B2018/00761,2178
US-7048687-B1,Limited use medical probe,https://patents.google.com/patent/US7048687B1,A61B5/14542,2177
US-6665648-B2,State models for monitoring process,https://patents.google.com/patent/US6665648B2,G06Q10/10,2177
US-7559452-B2,Surgical instrument having fluid actuated opposing jaws,https://patents.google.com/patent/US7559452B2,A61B2017/00544,2177
US-8241322-B2,Surgical device,https://patents.google.com/patent/US8241322B2,A61B17/07207,2176
US-7172104-B2,Surgical stapling apparatus,https://patents.google.com/patent/US7172104B2,A61B17/07207,2175
US-6665655-B1,Implicit rating of retrieved information in an information search system,https://patents.google.com/patent/US6665655B1,G06F16/30,2175
US-2002162090-A1,Polylingual simultaneous shipping of software,https://patents.google.com/patent/US20020162090A1,G06F8/38,2175
US-5417361-A,Staple cartridge for a surgical stapler,https://patents.google.com/patent/US5417361A,A61B2017/07228,2175
US-5839639-A,Collapsible anvil assembly and applicator instrument,https://patents.google.com/patent/US5839639A,A61B17/1155,2174
US-7340411-B2,"System and method for generating, capturing, and managing customer lead information over a computer network",https://patents.google.com/patent/US7340411B2,G06Q30/02,2174
US-7303107-B2,Surgical stapling apparatus,https://patents.google.com/patent/US7303107B2,A61B2090/0808,2174
US-6732111-B2,"Method, apparatus, system, and program product for attaching files and other objects to a partially replicated database",https://patents.google.com/patent/US6732111B2,Y10S707/99954,2174
US-6793652-B1,Electro-mechanical surgical device,https://patents.google.com/patent/US6793652B1,A61B2017/00482,2173
US-5586711-A,Surgical stapler with mechanisms for reducing the firing force,https://patents.google.com/patent/US5586711A,A61B2017/2912,2173
US-2005091098-A1,Assignment manager,https://patents.google.com/patent/US20050091098A1,G06Q10/1093,2172
US-6763501-B1,Remote document serving,https://patents.google.com/patent/US6763501B1,Y10S707/99952,2171
US-5770533-A,Open architecture casino operating system,https://patents.google.com/patent/US5770533A,A63F3/00157,2170
US-7357287-B2,Surgical stapling instrument having preloaded firing assistance mechanism,https://patents.google.com/patent/US7357287B2,A61B2017/00398,2170
US-5814057-A,Supporting element for staple region,https://patents.google.com/patent/US5814057A,A61B17/07292,2170
US-7637409-B2,Powered surgical stapling device,https://patents.google.com/patent/US7637409B2,A61B2017/00181,2170
US-6728702-B1,System and method to implement an integrated search center supporting a full-text search and query on a database,https://patents.google.com/patent/US6728702B1,G06F16/34,2169
US-5833690-A,Electrosurgical device and method,https://patents.google.com/patent/US5833690A,A61B18/1206,2168
US-2014249557-A1,Thumbwheel switch arrangements for surgical instruments,https://patents.google.com/patent/US20140249557A1,A61B17/068,2168
US-5649937-A,"Tissue-fixing surgical device, and method of fixing tissues",https://patents.google.com/patent/US5649937A,A61B17/10,2168
US-6503259-B2,Expandable anastomotic device,https://patents.google.com/patent/US6503259B2,A61B17/115,2167
US-6190353-B1,Methods and apparatus for bypassing arterial obstructions and/or performing other transvascular procedures,https://patents.google.com/patent/US6190353B1,A61B17/320725,2167
US-2002129352-A1,Method and apparatus for upgrading a software application in the presence of user modifications,https://patents.google.com/patent/US20020129352A1,G06F8/658,2167
US-5554169-A,Method for placing staples in laparoscopic or endoscopic procedures,https://patents.google.com/patent/US5554169A,A61B17/07207,2166
US-5275323-A,Surgical stapler,https://patents.google.com/patent/US5275323A,A61B2017/2945,2166
US-6728960-B1,Techniques for managing multiple threads in a browser environment,https://patents.google.com/patent/US6728960B1,G06F2209/543,2166
US-2003070000-A1,Computing system and method to implicitly commit unsaved data for a World Wide Web application,https://patents.google.com/patent/US20030070000A1,G06F9/547,2166
US-6321158-B1,Integrated routing/mapping information,https://patents.google.com/patent/US6321158B1,G01C21/3476,2166
US-2003074418-A1,"Method, apparatus and system for a mobile web client",https://patents.google.com/patent/US20030074418A1,H04L67/59,2165
US-7588175-B2,Surgical stapling and cutting instrument with improved firing system,https://patents.google.com/patent/US7588175B2,A61B2017/2937,2165
US-6193129-B1,Cutting blade for a surgical anastomosis stapling instrument,https://patents.google.com/patent/US6193129B1,A61B17/32053,2164
US-6565509-B1,Analyte monitoring device and methods of use,https://patents.google.com/patent/US6565509B1,H01L2924/0002,2163
US-7776060-B2,Circular stapler buttress combination,https://patents.google.com/patent/US7776060B2,A61B2017/00725,2162
US-8136712-B2,Surgical stapler with discrete staple height adjustment and tactile feedback,https://patents.google.com/patent/US8136712B2,A61B2090/034,2162
US-6533784-B2,Electrosurgical working end for transecting and sealing tissue,https://patents.google.com/patent/US6533784B2,A61B18/14,2161
US-7041102-B2,Electrosurgical working end with replaceable cartridges,https://patents.google.com/patent/US7041102B2,A61B2018/0063,2161
US-5197649-A,Gastrointestinal endoscoptic stapler,https://patents.google.com/patent/US5197649A,A61B17/1155,2161
US-2003206192-A1,Asynchronous message push to web browser,https://patents.google.com/patent/US20030206192A1,H04L67/75,2160
US-5408409-A,Image-directed robotic system for precise robotic surgery including redundant consistency checking,https://patents.google.com/patent/US5408409A,Y10S623/908,2160
US-5918159-A,Location reporting satellite paging system with optional blocking of location reporting,https://patents.google.com/patent/US5918159A,H04W84/025,2160
US-5588579-A,Anvil for circular stapler,https://patents.google.com/patent/US5588579A,A61B17/115,2160
US-4473077-A,Surgical stapler apparatus with flexible shaft,https://patents.google.com/patent/US4473077A,Y10T74/20438,2159
US-2002022836-A1,Electrosurgery system,https://patents.google.com/patent/US20020022836A1,A61B18/1206,2159
US-8408439-B2,Surgical stapling instrument with an articulatable end effector,https://patents.google.com/patent/US8408439B2,A61B2017/2916,2158
US-7296724-B2,Surgical stapling apparatus,https://patents.google.com/patent/US7296724B2,A61B2017/2927,2157
US-2004027388-A1,Method and apparatus to facilitate development of a customer-specific business process model,https://patents.google.com/patent/US20040027388A1,G06Q10/063,2157
US-5478354-A,Wound closing apparatus and method,https://patents.google.com/patent/US5478354A,A61B2017/047,2157
US-3687808-A,Synthetic polynucleotides,https://patents.google.com/patent/US3687808A,C07H21/00,2156
US-2003004971-A1,Automatic generation of data models and accompanying user interfaces,https://patents.google.com/patent/US20030004971A1,G06Q30/0603,2156
US-7055730-B2,Surgical fastener applying apparatus,https://patents.google.com/patent/US7055730B2,A61B2017/0725,2155
US-2003070004-A1,"Method, apparatus, and system for implementing a framework to support a web-based application",https://patents.google.com/patent/US20030070004A1,H04L69/329,2154
US-5823066-A,Articulation transmission mechanism for surgical instruments,https://patents.google.com/patent/US5823066A,Y10T74/20642,2154
US-6690963-B2,System for determining the location and orientation of an invasive medical instrument,https://patents.google.com/patent/US6690963B2,A61B5/029,2153
US-6802843-B2,Electrosurgical working end with resistive gradient electrodes,https://patents.google.com/patent/US6802843B2,A61B2018/00791,2153
US-5222963-A,Pull-through circular anastomosic intraluminal stapler with absorbable fastener means,https://patents.google.com/patent/US5222963A,A61F2002/305,2150
US-5071430-A,Surgical instrument,https://patents.google.com/patent/US5071430A,A61B2017/07214,2149
US-4100324-A,Nonwoven fabric and method of producing same,https://patents.google.com/patent/US4100324A,D04H1/56,2148
US-5779132-A,Endoscopic surgical stapler with compact profile,https://patents.google.com/patent/US5779132A,A61B2017/07214,2148
US-2011278343-A1,Clamping of Hybrid Surgical Instrument,https://patents.google.com/patent/US20110278343A1,A61B2017/07271,2148
US-7845533-B2,Detachable buttress material retention systems for use with a surgical stapling device,https://patents.google.com/patent/US7845533B2,A61B17/068,2147
US-2003070005-A1,"Method, apparatus, and system for implementing view caching in a framework to support web-based applications",https://patents.google.com/patent/US20030070005A1,G06F2209/545,2146
US-2003069936-A1,Method for routing electronic correspondence based on the level and type of emotion contained therein,https://patents.google.com/patent/US20030069936A1,G06F40/30,2146
US-6405220-B1,Partially replicated distributed database with multiple levels of remote clients,https://patents.google.com/patent/US6405220B1,G06F16/278,2146
US-2001044791-A1,Automated adaptive classification system for bayesian knowledge networks,https://patents.google.com/patent/US20010044791A1,G06F16/951,2145
US-8371491-B2,Surgical end effector having buttress retention features,https://patents.google.com/patent/US8371491B2,A61B17/07207,2145
US-5693042-A,Identification device for surgical instrument,https://patents.google.com/patent/US5693042A,A61M2205/6063,2144
US-2004268299-A1,Application user interface template with free-form layout,https://patents.google.com/patent/US20040268299A1,G06F9/451,2144
US-8016177-B2,Staple buttress retention system,https://patents.google.com/patent/US8016177B2,A61B2017/07271,2143
US-5507426-A,Apparatus for applying surgical fasteners,https://patents.google.com/patent/US5507426A,A61B2017/07214,2143
US-2004260659-A1,Function space reservation system,https://patents.google.com/patent/US20040260659A1,G06Q30/0283,2142
US-7125409-B2,Electrosurgical working end for controlled energy delivery,https://patents.google.com/patent/US7125409B2,A61B18/1477,2142
US-7721931-B2,Prevention of cartridge reuse in a surgical instrument,https://patents.google.com/patent/US7721931B2,A61B2034/2051,2142
US-4469863-A,Nonionic nucleic acid alkyl and aryl phosphonates and processes for manufacture and use thereof,https://patents.google.com/patent/US4469863A,C07H21/00,2141
US-6773409-B2,Surgical system for applying ultrasonic energy to tissue,https://patents.google.com/patent/US6773409B2,A61B2018/1876,2141
US-6829655-B1,Method and system for server synchronization with a computing device via a companion device,https://patents.google.com/patent/US6829655B1,Y10S707/99942,2141
US-4754909-A,Flexible stapler,https://patents.google.com/patent/US4754909A,A61B2017/00323,2140
US-6050996-A,Bipolar electrosurgical instrument with replaceable electrodes,https://patents.google.com/patent/US6050996A,A61B2018/126,2139
US-5489256-A,Sterilizable endoscope with separable disposable tube assembly,https://patents.google.com/patent/US5489256A,A61B1/00148,2139
US-7770774-B2,Surgical stapler,https://patents.google.com/patent/US7770774B2,A61B17/07207,2139
US-5632433-A,Surgical anastomosis stapling instrument with flexible support shaft and anvil adjusting mechanism,https://patents.google.com/patent/US5632433A,A61B2017/2927,2138
US-6724399-B1,Methods and apparatus for enabling keyboard accelerators in applications implemented via a browser,https://patents.google.com/patent/US6724399B1,G06F9/45512,2137
US-5869046-A,Altered polypeptides with increased half-life,https://patents.google.com/patent/US5869046A,A61K38/00,2137
US-6577726-B1,Computer telephony integration hotelling method and system,https://patents.google.com/patent/US6577726B1,G06Q30/0633,2137
US-6766817-B2,Fluid conduction utilizing a reversible unsaturated siphon with tubarc porosity action,https://patents.google.com/patent/US6766817B2,Y10T137/2774,2136
US-7128748-B2,Circular stapler buttress combination,https://patents.google.com/patent/US7128748B2,A61B17/1155,2134
US-6024699-A,"Systems, methods and computer program products for monitoring, diagnosing and treating medical conditions of remotely located patients",https://patents.google.com/patent/US6024699A,Y10S128/903,2134
US-5282829-A,Hollow body implants,https://patents.google.com/patent/US5282829A,A61B17/122,2134
WO-9110741-A1,Generation of xenogeneic antibodies,https://patents.google.com/patent/WO1991010741A1,C07K2317/24,2134
US-2004260534-A1,Intelligent data search,https://patents.google.com/patent/US20040260534A1,G10L15/1822,2133
US-6549908-B1,Methods and apparatus for interpreting user selections in the context of a relation distributed as a set of orthogonalized sub-relations,https://patents.google.com/patent/US6549908B1,G06F9/44526,2132
US-6818018-B1,In situ polymerizable hydrogels,https://patents.google.com/patent/US6818018B1,A61L27/34,2132
US-5339799-A,Medical system for reproducing a state of contact of the treatment section in the operation unit,https://patents.google.com/patent/US5339799A,A61B17/3478,2132
US-6695199-B2,"Fluid delivery mechanism for use with anastomosing, stapling, and resecting instruments",https://patents.google.com/patent/US6695199B2,A61B17/115,2132
US-6439446-B1,Safety lockout for actuator shaft,https://patents.google.com/patent/US6439446B1,A61B17/072,2132
US-2004128001-A1,Method and apparatus for an integrated process modeller,https://patents.google.com/patent/US20040128001A1,G05B17/02,2132
US-6905497-B2,Jaw structure for electrosurgical instrument,https://patents.google.com/patent/US6905497B2,A61B2018/00077,2131
US-2004015981-A1,Efficient high-interactivity user interface for client-server applications,https://patents.google.com/patent/US20040015981A1,G06F9/451,2131
US-6087196-A,Fabrication of organic semiconductor devices using ink jet printing,https://patents.google.com/patent/US6087196A,H10K50/00,2129
US-9398911-B2,Rotary powered surgical instruments with multiple degrees of freedom,https://patents.google.com/patent/US9398911B2,A61B17/072,2129
US-7819299-B2,Surgical instrument having a common trigger for actuating an end effector closing system and a staple firing system,https://patents.google.com/patent/US7819299B2,A61B2017/00367,2129
US-6621834-B1,System and method for voice transmission over network protocols,https://patents.google.com/patent/US6621834B1,H04L49/90,2128
US-2002143997-A1,Method and system for direct server synchronization with a computing device,https://patents.google.com/patent/US20020143997A1,H04L67/56,2128
US-2003204427-A1,User interface for processing requests for approval,https://patents.google.com/patent/US20030204427A1,G06Q10/10,2128
US-7396356-B2,"Combined dissecting, cauterizing, and stapling device",https://patents.google.com/patent/US7396356B2,A61B17/07207,2128
US-5445304-A,Safety device for a surgical stapler cartridge,https://patents.google.com/patent/US5445304A,A61B17/07207,2127
US-8292888-B2,Bipolar or ultrasonic surgical device,https://patents.google.com/patent/US8292888B2,A61B17/285,2127
US-6091956-A,Situation information system,https://patents.google.com/patent/US6091956A,H04L67/52,2127
US-7479949-B2,"Touch screen device, method, and graphical user interface for determining commands by applying heuristics",https://patents.google.com/patent/US7479949B2,G06F3/0488,2126
US-5208020-A,Cytotoxic agents comprising maytansinoids and their therapeutic use,https://patents.google.com/patent/US5208020A,A61K47/68033,2126
US-6385596-B1,Secure online music distribution system,https://patents.google.com/patent/US6385596B1,H04L63/045,2126
US-5582611-A,Surgical device for stapling and/or fastening body tissues,https://patents.google.com/patent/US5582611A,A61B2017/07278,2125
US-6517566-B1,Devices and methods for treating e.g. urinary stress incontinence,https://patents.google.com/patent/US6517566B1,A61B2017/0641,2125
US-5333773-A,Sealing means for endoscopic surgical anastomosis stapling instrument,https://patents.google.com/patent/US5333773A,A61B2017/07257,2125
US-5620452-A,Surgical clip with ductile tissue penetrating members,https://patents.google.com/patent/US5620452A,A61B17/0644,2125
US-6826745-B2,System and method for smart scripting call centers and configuration thereof,https://patents.google.com/patent/US6826745B2,Y10S707/99933,2124
US-7137980-B2,Method and system for controlling output of RF medical generator,https://patents.google.com/patent/US7137980B2,A61B2018/0063,2124
US-5709334-A,Surgical apparatus for applying surgical fasteners,https://patents.google.com/patent/US5709334A,A61B2017/07264,2124
US-RE38708-E,Disposable loading unit for surgical stapler,https://patents.google.com/patent/USRE38708E1,A61B17/320016,2124
US-9236267-B2,Cut-mask patterning process for fin-like field effect transistor (FinFET) device,https://patents.google.com/patent/US9236267B2,H01L21/3086,2123
US-7455676-B2,Surgical stapling instruments including a cartridge having multiple staple sizes,https://patents.google.com/patent/US7455676B2,A61B2017/07278,2123
US-6684438-B2,Method of using cache to determine the visibility to a remote database client of a plurality of database transactions,https://patents.google.com/patent/US6684438B2,G06F16/278,2122
US-6024748-A,Singleshot anastomosis instrument with detachable loading unit and method,https://patents.google.com/patent/US6024748A,A61B17/08,2122
US-6782383-B2,System and method to implement a persistent and dismissible search center frame,https://patents.google.com/patent/US6782383B2,G06F16/284,2122
US-7784663-B2,Surgical stapling instrument having load sensing control circuitry,https://patents.google.com/patent/US7784663B2,A61B2017/00022,2121
US-3692618-A,Continuous filament nonwoven web,https://patents.google.com/patent/US3692618A,D04H3/16,2120
US-5582617-A,Surgical instrument for endoscopic and general surgery,https://patents.google.com/patent/US5582617A,A61B2017/2932,2119
US-6258107-B1,Apparatus for connecting a variety of surgical instruments to an operating control device,https://patents.google.com/patent/US6258107B1,A61B17/072,2118
US-6749560-B1,Endoscope shaft with slotted tube,https://patents.google.com/patent/US6749560B1,G02B23/24,2118
US-5653373-A,Arcuate apparatus for applying two-part surgical fasteners,https://patents.google.com/patent/US5653373A,A61B2017/00451,2118
US-7607557-B2,Surgical stapling instruments structured for pump-assisted delivery of medical agents,https://patents.google.com/patent/US7607557B2,A61B17/07207,2118
US-5111987-A,Semi-disposable surgical stapler,https://patents.google.com/patent/US5111987A,A61B2017/07264,2118
US-6604117-B2,Method of maintaining a network of partially replicated database system,https://patents.google.com/patent/US6604117B2,Y10S707/99953,2115
US-7611038-B2,Directionally biased staple and anvil assembly for forming the staple,https://patents.google.com/patent/US7611038B2,A61B17/0686,2114
US-6850949-B2,System and method for generating a dynamic interface via a communications network,https://patents.google.com/patent/US6850949B2,H04M2201/16,2114
US-6716232-B1,Surgical instrument having an articulated jaw structure and a detachable knife,https://patents.google.com/patent/US6716232B1,A61B2017/07271,2114
US-5657921-A,Apparatus for applying surgical fasteners,https://patents.google.com/patent/US5657921A,A61B2017/07285,2113
US-6754681-B2,Partially replicated distributed database with multiple levels of remote clients,https://patents.google.com/patent/US6754681B2,Y10S707/99953,2113
US-2002165742-A1,Feature centric release manager method and system,https://patents.google.com/patent/US20020165742A1,G06Q10/06,2112
US-6681979-B2,"Fluid delivery device for use with anastomosing stapling, and resecting instruments",https://patents.google.com/patent/US6681979B2,A61B17/00491,2112
US-6842748-B1,Usage based strength between related information in an information retrieval system,https://patents.google.com/patent/US6842748B1,G06F16/954,2112
US-7740159-B2,Pneumatically powered surgical cutting and fastening instrument with a variable control of the actuating rate of firing with mechanical power assist,https://patents.google.com/patent/US7740159B2,A61B17/07207,2111
US-2007194079-A1,Surgical stapling device with staple drivers of different height,https://patents.google.com/patent/US20070194079A1,A61B2017/07278,2111
US-5859205-A,Humanised antibodies,https://patents.google.com/patent/US5859205A,A61K38/00,2111
US-5697909-A,Methods and apparatus for surgical cutting,https://patents.google.com/patent/US5697909A,A61B2218/007,2111
US-6604128-B2,Method and system for distributing objects over a network,https://patents.google.com/patent/US6604128B2,H04L67/02,2111
US-6611537-B1,Synchronous network for digital media streams,https://patents.google.com/patent/US6611537B1,H04L25/4908,2111
US-5553675-A,Orthopedic surgical device,https://patents.google.com/patent/US5553675A,B25F5/02,2110
US-2003189600-A1,Defining an approval process for requests for approval,https://patents.google.com/patent/US20030189600A1,Y10S715/971,2110
US-9576814-B2,Method of spacer patterning to form a target integrated circuit pattern,https://patents.google.com/patent/US9576814B2,H01L21/0337,2109
US-6131789-A,Surgical stapler,https://patents.google.com/patent/US6131789A,A61B2017/2945,2109
US-2003114851-A1,Electrosurgical jaws for controlled application of clamping pressure,https://patents.google.com/patent/US20030114851A1,A61B18/1445,2109
US-5503638-A,Soft tissue stapling buttress,https://patents.google.com/patent/US5503638A,A61B17/07207,2109
US-5911353-A,Disposable loading unit for surgical stapler,https://patents.google.com/patent/US5911353A,A61B17/320016,2109
US-6929644-B2,Electrosurgical jaw structure for controlled energy delivery,https://patents.google.com/patent/US6929644B2,A61B18/1442,2108
US-6994708-B2,Robotic tool with monopolar electro-surgical scissors,https://patents.google.com/patent/US6994708B2,A61B34/37,2107
US-7011657-B2,Jaw structure for electrosurgical instrument and method of use,https://patents.google.com/patent/US7011657B2,A61B18/1445,2107
US-2004193510-A1,Modeling of order data,https://patents.google.com/patent/US20040193510A1,G06Q10/087,2106
US-6053390-A,Anvil for surgical stapler,https://patents.google.com/patent/US6053390A,A61B2017/07257,2106
US-5706997-A,Apparatus for applying surgical fasteners,https://patents.google.com/patent/US5706997A,A61B2017/0725,2106
US-5405344-A,Articulable socket joint assembly for an endoscopic instrument for surgical fastner track therefor,https://patents.google.com/patent/US5405344A,A61B17/1285,2105
US-7401721-B2,Surgical stapling instruments including a cartridge having multiple staple sizes,https://patents.google.com/patent/US7401721B2,A61B2017/07235,2105
US-6190386-B1,Electrosurgical forceps with needle electrodes,https://patents.google.com/patent/US6190386B1,A61B18/1442,2105
US-6063098-A,Articulable ultrasonic surgical apparatus,https://patents.google.com/patent/US6063098A,A61B17/22012,2105
US-7717312-B2,Surgical instruments employing sensors,https://patents.google.com/patent/US7717312B2,A61B2017/07214,2104
US-6039734-A,Electrosurgical hand-held battery-operated instrument,https://patents.google.com/patent/US6039734A,A61B2018/0066,2104
US-6155473-A,Locking mechanism for a surgical fastening apparatus,https://patents.google.com/patent/US6155473A,A61B17/07207,2104
